title,score,date,airline,source
"""grateful about your very human and empathetic approach""",5,2022-11-01,LUFTHANSA,SKYTRAX
"""old uncomfortable seats""",0.5,2022-11-01,LUFTHANSA,SKYTRAX
"""dreadful business class seats""",3.5,2022-11-01,LUFTHANSA,SKYTRAX
"""rude and arrogant to me""",2,2022-11-01,LUFTHANSA,SKYTRAX
"""Will not fly Lufthansa again""",0.5,2022-11-01,LUFTHANSA,SKYTRAX
"""I was horrified by the experience""",0.5,2022-11-01,LUFTHANSA,SKYTRAX
"""far better than expected""",4,2022-11-01,LUFTHANSA,SKYTRAX
"""Avoid Lufthansa at any cost""",0.5,2022-09-01,LUFTHANSA,SKYTRAX
"""won't send me the money they owe me""",0.5,2022-06-01,LUFTHANSA,SKYTRAX
"""all in all a good experience""",4,2022-11-01,LUFTHANSA,SKYTRAX
"""business class product is embarrassing""",1,2022-11-01,LUFTHANSA,SKYTRAX
"""it was really not worth it""",2.5,2022-11-01,LUFTHANSA,SKYTRAX
"""an Economy Class experience""",0.5,2022-11-01,LUFTHANSA,SKYTRAX
"""not worth paying for Business Class""",2.5,2022-11-01,LUFTHANSA,SKYTRAX
"""extremely small portions of cheap ingredients""",1,2022-10-01,LUFTHANSA,SKYTRAX
"""numerous bags far too big""",2,2022-11-01,LUFTHANSA,SKYTRAX
"""One of the worst experiences""",0.5,2022-11-01,LUFTHANSA,SKYTRAX
"""no customer service from Lufthansa""",2,2022-10-01,LUFTHANSA,SKYTRAX
"""this representative is the worst I have ever dealt with""",0.5,2022-10-01,LUFTHANSA,SKYTRAX
"""an utterly mediocre product""",1,2022-10-01,LUFTHANSA,SKYTRAX
"""way behind the top players""",3.5,2022-10-01,LUFTHANSA,SKYTRAX
"""extremely dysfunctional and unprofessional""",0.5,2022-09-01,LUFTHANSA,SKYTRAX
"""Leg space is pathetic""",2.5,2022-11-01,LUFTHANSA,SKYTRAX
"""very poor customer service""",0.5,2022-10-01,LUFTHANSA,SKYTRAX
"""Business Class on Lufthansa is a joke""",0.5,2022-10-01,LUFTHANSA,SKYTRAX
"""avoid it by any means""",0.5,2022-11-01,LUFTHANSA,SKYTRAX
"""lack of support and help""",1,2022-10-01,LUFTHANSA,SKYTRAX
"""Flight itself nice""",2,2022-10-01,LUFTHANSA,SKYTRAX
"""won't be flying Lufthansa again""",1.5,2022-10-01,LUFTHANSA,SKYTRAX
"""highest degree of professionalism""",5,2022-07-01,LUFTHANSA,SKYTRAX
"""definitely will fly with Lufthansa from now on""",5,2022-09-01,LUFTHANSA,SKYTRAX
"""Total disappointment""",1.5,2022-10-01,LUFTHANSA,SKYTRAX
"""There was a time when I loved Lufthansa, but not anymore""",1.5,2022-09-01,LUFTHANSA,SKYTRAX
"""No complaints at all""",4.5,2022-10-01,LUFTHANSA,SKYTRAX
"""shall try to avoid in future""",0.5,2022-10-01,LUFTHANSA,SKYTRAX
"""countless flight and schedule changes""",0.5,2022-07-01,LUFTHANSA,SKYTRAX
"""staff extremely cordial and professional""",4,2022-10-01,LUFTHANSA,SKYTRAX
"""Unable to check in online""",2.5,2022-10-01,LUFTHANSA,SKYTRAX
"""No refund was issued""",0.5,2022-06-01,LUFTHANSA,SKYTRAX
"""Just a horrible experience""",0.5,2022-10-01,LUFTHANSA,SKYTRAX
"""meals a real catastrophe""",1,2022-10-01,LUFTHANSA,SKYTRAX
"""demonstrated an appalling attitude""",0.5,2022-08-01,LUFTHANSA,SKYTRAX
Lufthansa customer review,0.5,2022-10-01,LUFTHANSA,SKYTRAX
"""All was pretty fine""",3,2022-10-01,LUFTHANSA,SKYTRAX
"""stripped all customer service out""",0.5,2022-10-01,LUFTHANSA,SKYTRAX
"""disgusted with the level of unprofessionalism""",0.5,2022-10-01,LUFTHANSA,SKYTRAX
"""the flight was surprisingly pleasant and comfortable""",4,2022-09-01,LUFTHANSA,SKYTRAX
"""seats were right in front of the toilets""",0.5,2022-10-01,LUFTHANSA,SKYTRAX
"""Sad experience with Lufthansa today""",0.5,2022-10-01,LUFTHANSA,SKYTRAX
"""Absolutely despicable""",0.5,2022-10-01,LUFTHANSA,SKYTRAX
"""I hate dealing with them""",0.5,2022-05-01,LUFTHANSA,SKYTRAX
"""Customer service is incompetent""",0.5,2022-10-01,LUFTHANSA,SKYTRAX
"""worst plane meal I've ever been served""",0.5,2022-09-01,LUFTHANSA,SKYTRAX
"""Lufthansa is by far the worst airline in Europe""",1,2022-10-01,LUFTHANSA,SKYTRAX
"""Worst customer care""",0.5,2022-06-01,LUFTHANSA,SKYTRAX
"""food on the plane was horrible""",0.5,2022-09-01,LUFTHANSA,SKYTRAX
"""received very special and kind attention""",5,2022-08-01,LUFTHANSA,SKYTRAX
"""we are miles away of what LH’s cabin service used to be""",3.5,2022-09-01,LUFTHANSA,SKYTRAX
"""Railways ICE 1st Class product is superior""",1.5,2022-09-01,LUFTHANSA,SKYTRAX
"""no desire to travel again with Lufthansa""",1,2022-08-01,LUFTHANSA,SKYTRAX
